,go_term,negative_log_p_value,fold_enrichment
0,anatomical structure development (GO:0048856),18.257351663924172,1.7101707196380602
1,developmental process (GO:0032502),17.664446090055105,1.6485179432158468
2,anterior/posterior pattern specification (GO:0009952),15.473015762367291,6.010133444537114
3,anatomical structure morphogenesis (GO:0009653),15.45033638199833,2.133618482545617
4,regionalization (GO:0003002),15.018061499044126,4.65195374800638
5,cell differentiation (GO:0030154),14.935053626060784,1.8350267379679144
6,cellular developmental process (GO:0048869),14.8477509888021,1.8231109799291618
7,multicellular organism development (GO:0007275),14.82137647205776,1.7265223187408618
8,animal organ development (GO:0048513),14.803832955778763,1.8694264401855059
9,tissue development (GO:0009888),14.359143487584312,2.2773043295059514
10,epithelium development (GO:0060429),14.243605899107799,2.7063220827679784
11,system development (GO:0048731),13.470179111491264,1.7312745748259035
12,nervous system development (GO:0007399),13.330627420574876,2.050271772955479
13,multicellular organismal process (GO:0032501),12.773472695662457,1.4789518034009752
14,embryonic organ development (GO:0048568),12.709575796475608,3.7104725670804966
15,pattern specification process (GO:0007389),12.621336510751547,3.686114979112791
16,gliogenesis (GO:0042063),12.402867671927972,4.945620842572062
17,embryo development ending in birth or egg hatching (GO:0009792),12.125924702447186,3.0412112259970456
18,glial cell development (GO:0021782),12.010692080469397,7.453781174577634
19,embryonic organ morphogenesis (GO:0048562),11.854523270276985,4.352854122621564
20,glial cell differentiation (GO:0010001),11.636504896674268,5.505080213903743
21,neurogenesis (GO:0022008),11.477384265991557,2.3215221987315013
22,chordate embryonic development (GO:0043009),11.426877388469686,3.0004788341429562
23,nitrogen compound metabolic process (GO:0006807),11.32134593925689,0.585786478796911
24,epithelial tube formation (GO:0072175),10.56223694198683,6.148009289980092
25,embryonic morphogenesis (GO:0048598),10.481424430106214,3.0086986617443467
26,central nervous system development (GO:0007417),10.367450645591461,2.4437445050114297
27,anatomical structure formation involved in morphogenesis (GO:0048646),10.27378609843311,2.486353975461308
