,go_term,negative_log_p_value,fold_enrichment
0,telomere organization (GO:0032200),9.121015551844943,11.105177993527507
1,myoblast fusion involved in skeletal muscle regeneration (GO:0014905),7.854928627995184,91.50666666666667
2,response to cytokine (GO:0034097),7.076283992923774,3.1143976897689765
3,myotube differentiation involved in skeletal muscle regeneration (GO:0014908),6.903459488118693,50.83703703703704
4,cellular response to cytokine stimulus (GO:0071345),6.731670418491297,3.2040149393090567
5,receptor guanylyl cyclase signaling pathway (GO:0007168),6.7239710479639685,45.75333333333334
6,DNA replication-dependent chromatin assembly (GO:0006335),6.7239710479639685,45.75333333333334
7,regulation of lymphocyte mediated immunity (GO:0002706),6.700561712273159,6.426029962546817
8,positive regulation of B cell proliferation (GO:0030890),6.668108534677452,14.919565217391304
9,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822),6.604829645393271,6.284798534798534
10,cGMP biosynthetic process (GO:0006182),6.408429769154244,38.12777777777778
11,positive regulation of immunoglobulin production (GO:0002639),6.281542199174838,12.949056603773585
12,negative regulation of ubiquitin protein ligase activity (GO:1904667),6.268159293086981,35.194871794871794
13,regulation of adaptive immune response (GO:0002819),6.244295038302633,5.776936026936027
14,cellular copper ion homeostasis (GO:0006878),5.900167314775068,28.59583333333333
15,cGMP metabolic process (GO:0046068),5.791768371691574,26.91372549019608
16,regulation of immunoglobulin mediated immune response (GO:0002889),5.768886529137781,10.7234375
17,regulation of B cell mediated immunity (GO:0002712),5.768886529137781,10.7234375
18,positive regulation of production of molecular mediator of immune response (GO:0002702),5.746036594236543,6.778271604938271
19,regulation of B cell activation (GO:0050864),5.742725394851513,5.129297458893872
20,cellular response to low-density lipoprotein particle stimulus (GO:0071404),5.6892336272028405,25.41851851851852
21,regulation of B cell proliferation (GO:0030888),5.604834823280735,10.092647058823529
22,copper ion homeostasis (GO:0055070),5.591975018274452,24.080701754385963
23,regulation of leukocyte migration (GO:0002685),5.577883408032347,4.9303160919540225
24,response to organic substance (GO:0010033),5.4725110169556626,1.861267258382643
25,receptor internalization (GO:0031623),5.450589715569752,9.531944444444445
26,regulation of leukocyte mediated immunity (GO:0002703),5.4203594149776775,4.746196403872753
27,negative regulation of systemic arterial blood pressure (GO:0003085),5.3271506961286805,20.7969696969697
28,regulation of immunoglobulin production (GO:0002637),5.30511677049274,9.030263157894737
29,myotube differentiation (GO:0014902),5.30511677049274,9.030263157894737
30,cyclic purine nucleotide metabolic process (GO:0052652),5.246590243602684,19.892753623188405
31,negative regulation of ubiquitin-protein transferase activity (GO:0051444),5.246590243602684,19.892753623188405
32,cyclic nucleotide biosynthetic process (GO:0009190),5.246590243602684,19.892753623188405
33,hexose metabolic process (GO:0019318),5.24637981987439,5.865811965811965
34,plasma membrane fusion (GO:0045026),5.095226031495232,18.301333333333332
35,regulation of ubiquitin protein ligase activity (GO:1904666),5.02393643813461,17.597435897435897
36,positive regulation of heart rate (GO:0010460),5.02393643813461,17.597435897435897
37,positive regulation of immune effector process (GO:0002699),5.0017614305776465,4.284019975031211
38,regulation of immune effector process (GO:0002697),4.918576963486438,3.555958549222798
39,response to lipoprotein particle (GO:0055094),4.889118577478147,16.340476190476192
40,telomere maintenance via telomere lengthening (GO:0010833),4.889118577478147,16.340476190476192
41,cGMP-mediated signaling (GO:0019934),4.889118577478147,16.340476190476192
42,positive regulation of isotype switching (GO:0045830),4.889118577478147,16.340476190476192
43,positive regulation of B cell activation (GO:0050871),4.85568138192286,5.228952380952381
44,monosaccharide metabolic process (GO:0005996),4.836477423788449,5.199242424242425
